"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","1","88","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","4","112","Unnecessary qualifier 'Decorators': 'ofFunction' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","4","150","Unnecessary qualifier 'Decorators': 'ofCompletionStage' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"4","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","1","175","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"5","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","1","227","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"6","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","4","265","Unnecessary qualifier 'Decorators': 'ofCompletionStage' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"7","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","1","290","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"8","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","4","353","Unnecessary qualifier 'Decorators': 'ofCompletionStage' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"9","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","1","378","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"10","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","4","411","Unnecessary qualifier 'Decorators': 'ofCheckedFunction' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"11","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","1","453","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"12","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","1","506","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"13","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/main/java/io/github/resilience4j/decorators/Decorators.java","1","632","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/test/java/io/github/resilience4j/decorators/DecoratorsTest.java","3","212","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"2","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/test/java/io/github/resilience4j/decorators/DecoratorsTest.java","3","231","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"3","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/test/java/io/github/resilience4j/decorators/DecoratorsTest.java","3","250","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"4","io.github.resilience4j.decorators","/workspaces/design-evaluation/resilience4j/resilience4j-all/src/test/java/io/github/resilience4j/decorators/DecoratorsTest.java","3","272","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","io.github.resilience4j.bulkhead.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/bulkhead/annotation/Bulkhead.java","3","10","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"2","io.github.resilience4j.bulkhead.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/bulkhead/annotation/Bulkhead.java","3","11","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.github.resilience4j.circuitbreaker.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/circuitbreaker/annotation/CircuitBreaker.java","3","27","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"2","io.github.resilience4j.circuitbreaker.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/circuitbreaker/annotation/CircuitBreaker.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.github.resilience4j.micrometer.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/micrometer/annotation/Timer.java","3","27","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"2","io.github.resilience4j.micrometer.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/micrometer/annotation/Timer.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.github.resilience4j.ratelimiter.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/ratelimiter/annotation/RateLimiter.java","3","27","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"2","io.github.resilience4j.ratelimiter.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/ratelimiter/annotation/RateLimiter.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.github.resilience4j.retry.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/retry/annotation/Retry.java","3","26","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"2","io.github.resilience4j.retry.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/retry/annotation/Retry.java","3","27","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.github.resilience4j.timelimiter.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/timelimiter/annotation/TimeLimiter.java","3","27","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"2","io.github.resilience4j.timelimiter.annotation","/workspaces/design-evaluation/resilience4j/resilience4j-annotations/src/main/java/io/github/resilience4j/timelimiter/annotation/TimeLimiter.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.github.resilience4j.bulkhead.concurrent","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/jcstress/java/io/github/resilience4j/bulkhead/concurrent/ConcurrentBulkheadTest.java","4","27","Unused import 'org.openjdk.jcstress.annotations.*'","Code Style","UnnecessaryImport"
"1","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/jmh/java/io/github/resilience4j/bulkhead/BulkheadBenchmark.java","4","22","Unused import 'org.openjdk.jmh.annotations.*'","Code Style","UnnecessaryImport"
"2","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/jmh/java/io/github/resilience4j/bulkhead/BulkheadBenchmark.java","3","75","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"3","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/jmh/java/io/github/resilience4j/bulkhead/BulkheadBenchmark.java","3","76","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"4","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/jmh/java/io/github/resilience4j/bulkhead/BulkheadBenchmark.java","3","84","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"5","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/jmh/java/io/github/resilience4j/bulkhead/BulkheadBenchmark.java","3","85","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"6","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/jmh/java/io/github/resilience4j/bulkhead/BulkheadBenchmark.java","3","93","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"7","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/jmh/java/io/github/resilience4j/bulkhead/BulkheadBenchmark.java","3","94","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/Bulkhead.java","4","28","Unused import 'io.github.resilience4j.core.functions.*'","Code Style","UnnecessaryImport"
"2","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/Bulkhead.java","3","107","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"3","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/Bulkhead.java","3","136","A catch statement should never catch throwable since it includes errors.","Error Prone","AvoidCatchingThrowable"
"1","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/BulkheadConfig.java","1","29","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/BulkheadFullException.java","1","24","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"1","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/BulkheadRegistry.java","3","315","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/ThreadPoolBulkheadConfig.java","1","41","This class has only private constructors and may be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/ThreadPoolBulkheadConfig.java","4","188","Unnecessary qualifier 'Arrays': 'stream' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","io.github.resilience4j.bulkhead","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/ThreadPoolBulkheadRegistry.java","3","339","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","io.github.resilience4j.bulkhead.internal","/workspaces/design-evaluation/resilience4j/resilience4j-bulkhead/src/main/java/io/github/resilience4j/bulkhead/internal/FixedThreadPoolBulkhead.java","3","158","Thrown exception does not preserve the stack trace of exception 'rejected' on all code paths","Best Practices","PreserveStackTrace"
